"crash_severity","collision_type","weather","light","road_surface","traffic_control","city","year","fatality","injury","id","Geometry"
"Fatal","Fixed object","Clear","Daylight","Dry","No Controls","Unincorporated","2006","1","0","3292","POINT (-88.4330801339645 40.3579131700999)"
"Fatal","Angle","Clear","Daylight","Dry","Stop Sign/Flasher","Unincorporated","2006","1","1","3293","POINT (-88.2395977903905 40.1709884844247)"
"Fatal","Fixed object","Clear","Daylight","Other","No Controls","Unincorporated","2006","1","0","3294","POINT (-88.1247561640692 40.1344968877369)"
"Fatal","Fixed object","Clear","Darkness","Dry","No Controls","Unincorporated","2006","1","1","3295","POINT (-88.3201953376226 39.9672879198335)"
"Fatal","Angle","Rain","Daylight","Wet","Stop Sign/Flasher","Unincorporated","2006","1","1","3296","POINT (-88.3693302420828 40.0842094755105)"
"Fatal","Train","Clear","Darkness","Dry","RR crossing gate","Unincorporated","2006","1","0","3297","POINT (-88.2103318393149 40.1892473021539)"
"Fatal","Overturned","Clear","Darkness","Dry","Lane Use Marking","Unincorporated","2006","1","0","3298","POINT (-88.3040288996513 40.020476889299)"
"Fatal","Pedalcyclist","Clear","Daylight","Dry","Lane Use Marking","Unincorporated","2006","1","0","3299","POINT (-88.1620729026061 40.0798615792923)"
"Fatal","Angle","Clear","Daylight","Dry","Stop Sign/Flasher","Unincorporated","2006","1","4","3300","POINT (-88.1612416876183 39.9818818221079)"
"Fatal","Angle","Rain","Darkness, lighted road","Wet","Stop Sign/Flasher","Champaign","2006","1","0","3301","POINT (-88.2392964941077 40.1566995768344)"
"Fatal","Sideswipe same direction","Clear","Darkness, lighted road","Dry","Lane Use Marking","Champaign","2006","1","0","3302","POINT (-88.2835379793163 40.1457696666581)"
"Fatal","Fixed object","Clear","Darkness, lighted road","Dry","Traffic Signal","Champaign","2006","1","0","3303","POINT (-88.2304267377958 40.1097673365476)"
"Fatal","Overturned","Clear","Darkness, lighted road","Dry","No Controls","Champaign","2006","1","0","3304","POINT (-88.2289346313351 40.1118152992648)"
"Fatal","Pedestrian","Clear","Darkness","Dry","No Controls","Urbana","2006","1","0","3305","POINT (-88.1844244035989 40.1420286026266)"
"Fatal","Angle","Clear","Darkness, lighted road","Dry","No Controls","Champaign","2006","1","0","3306","POINT (-88.2411305659329 40.112622463461)"
"Fatal","Overturned","Snow","Darkness","Snow or slush","Lane Use Marking","Unincorporated","2007","1","3","3307","POINT (-88.3036496757465 40.0349678998424)"
